User,Bot,formatted
is there evidence of hematoma?,no,"User: is there evidence of hematoma? 
Bot: no
"
what organ systems can be evaluated with this image?,respiratory 	cardia c	musculoskeletal,"User: what organ systems can be evaluated with this image? 
Bot: respiratory 	cardia c	musculoskeletal
"
what two large vessels are seen directly anterior to the spinal column?,the aorta and the inferior vena cava,"User: what two large vessels are seen directly anterior to the spinal column? 
Bot: the aorta and the inferior vena cava
"
is the lesion infiltrating?,no,"User: is the lesion infiltrating? 
Bot: no
"
on which side is air under the diaphragm?,right,"User: on which side is air under the diaphragm? 
Bot: right
"
is there edema present near the lesion?,yes,"User: is there edema present near the lesion? 
Bot: yes
"
are you able to see the ventricles in this image?,no,"User: are you able to see the ventricles in this image? 
Bot: no
"
what is the pathology seen in this image?,pulmonary nodules,"User: what is the pathology seen in this image? 
Bot: pulmonary nodules
"
are the lungs hyperinflated?,yes,"User: are the lungs hyperinflated? 
Bot: yes
"
is there bleeding present in this patient's brain?,no,"User: is there bleeding present in this patient's brain? 
Bot: no
"
is the occipital lobe visible in this image?,no,"User: is the occipital lobe visible in this image? 
Bot: no
"
is there a right-sided pleural effusion?,no,"User: is there a right-sided pleural effusion? 
Bot: no
"
what are the locations of the hyperintensities?,bilateral frontal lobes and body of corpus callosum,"User: what are the locations of the hyperintensities? 
Bot: bilateral frontal lobes and body of corpus callosum
"
"which is highlighted in this image, white or gray matter?",gray matter,"User: which is highlighted in this image, white or gray matter? 
Bot: gray matter
"
what are these hyperintensities to the right?,infarcted areas,"User: what are these hyperintensities to the right? 
Bot: infarcted areas
"
are there patchy infiltrates present?,yes,"User: are there patchy infiltrates present? 
Bot: yes
"
is this a noncontrast ct?,yes,"User: is this a noncontrast ct? 
Bot: yes
"
where is the pathology located?,in the cortex and basal ganglia bilaterally,"User: where is the pathology located? 
Bot: in the cortex and basal ganglia bilaterally
"
is this a normal image?,no,"User: is this a normal image? 
Bot: no
"
is there consolidation in the lungs?,no,"User: is there consolidation in the lungs? 
Bot: no
"
where is the free-air seen in this image?,adjacent to the appendix,"User: where is the free-air seen in this image? 
Bot: adjacent to the appendix
"
is the left and right mca present?,yes,"User: is the left and right mca present? 
Bot: yes
"
is there hilar adenopathy?,yes,"User: is there hilar adenopathy? 
Bot: yes
"
is the chest xray underexposed?,yes,"User: is the chest xray underexposed? 
Bot: yes
"
does this patient have a skull fracture?,no,"User: does this patient have a skull fracture? 
Bot: no
"
what do the two bright dots represent?,nipple location,"User: what do the two bright dots represent? 
Bot: nipple location
"
what are those lines in the posterior brain?,imaging artifacts,"User: what are those lines in the posterior brain? 
Bot: imaging artifacts
"
was this a contrast ct or a non-contrast ct?,contrast ct with gi and iv contrast,"User: was this a contrast ct or a non-contrast ct? 
Bot: contrast ct with gi and iv contrast
"
is this an mri image?,no,"User: is this an mri image? 
Bot: no
"
is this an image of the brain?,yes,"User: is this an image of the brain? 
Bot: yes
"
how can you tell this is a t2 weighted image?,csf is white,"User: how can you tell this is a t2 weighted image? 
Bot: csf is white
"
is there an abnormal lesion?,yes,"User: is there an abnormal lesion? 
Bot: yes
"
is the caudate nucleus involved?,yes,"User: is the caudate nucleus involved? 
Bot: yes
"
what image modality is this?,chest x-ray,"User: what image modality is this? 
Bot: chest x-ray
"
is there contrast given?,yes,"User: is there contrast given? 
Bot: yes
"
is this a cyst in the left lung?,no,"User: is this a cyst in the left lung? 
Bot: no
"
is this patient intubated?,no,"User: is this patient intubated? 
Bot: no
"
is there a pleural effusion?,no,"User: is there a pleural effusion? 
Bot: no
"
is there an brain bleed?,no,"User: is there an brain bleed? 
Bot: no
"
how do you tell which side is r vs l?,imagine the patient is laying down and you are looking from the feet,"User: how do you tell which side is r vs l? 
Bot: imagine the patient is laying down and you are looking from the feet
"
is this film properly exposed?,yes,"User: is this film properly exposed? 
Bot: yes
"
is there tracheal deviation?,no,"User: is there tracheal deviation? 
Bot: no
"
is this an mri?,yes,"User: is this an mri? 
Bot: yes
"
is there a clavicle fracture shown in this radiograph?,no,"User: is there a clavicle fracture shown in this radiograph? 
Bot: no
"
what signs of appendicitis are seen in this image?,"fat stranding around the appendix, thickened appendiceal walls, dilated appendix, and an appendicolith is seen as well","User: what signs of appendicitis are seen in this image? 
Bot: fat stranding around the appendix, thickened appendiceal walls, dilated appendix, and an appendicolith is seen as well
"
is cardiomegaly shown?,yes,"User: is cardiomegaly shown? 
Bot: yes
"
is it possible to see the cerebellum?,no,"User: is it possible to see the cerebellum? 
Bot: no
"
how are the borders of the lesion?,smooth,"User: how are the borders of the lesion? 
Bot: smooth
"
is there evidence of cardiomegaly?,no,"User: is there evidence of cardiomegaly? 
Bot: no
"
is the mass contrast-enhancing?,no,"User: is the mass contrast-enhancing? 
Bot: no
"
is there tracheal deviation?,no,"User: is there tracheal deviation? 
Bot: no
"
pathology seen in this image?,small subdural hematoma with cerebral edema,"User: pathology seen in this image? 
Bot: small subdural hematoma with cerebral edema
"
is the heart enlarged?,yes,"User: is the heart enlarged? 
Bot: yes
"
how many ribs are present in vertical order on this chest radiograph,12,"User: how many ribs are present in vertical order on this chest radiograph 
Bot: 12
"
what are the hyperdense findings in the mediastinum?,sternal wires,"User: what are the hyperdense findings in the mediastinum? 
Bot: sternal wires
"
what are the hyperdensities on the periphery of the left side,ribs,"User: what are the hyperdensities on the periphery of the left side 
Bot: ribs
"
is this a pa film?,yes,"User: is this a pa film? 
Bot: yes
"
is the width of the cardiac silhouette normal?,no,"User: is the width of the cardiac silhouette normal? 
Bot: no
"
"is this image modality t1, t2, or flair?",flair,"User: is this image modality t1, t2, or flair? 
Bot: flair
"
is the mass calcified?,no,"User: is the mass calcified? 
Bot: no
"
where is the mass located?,suprasellar cistern,"User: where is the mass located? 
Bot: suprasellar cistern
"
which liver lobe is the lesion in?,right lobe,"User: which liver lobe is the lesion in? 
Bot: right lobe
"
is the bowel obstructed?,yes,"User: is the bowel obstructed? 
Bot: yes
"
what is the image suggestive of?,abscess,"User: what is the image suggestive of? 
Bot: abscess
"
what do the dark spaces in the center show?,lateral ventricles,"User: what do the dark spaces in the center show? 
Bot: lateral ventricles
"
is there cardiomegaly?,yes,"User: is there cardiomegaly? 
Bot: yes
"
what form of contrast did the patient receive?,oral and iv,"User: what form of contrast did the patient receive? 
Bot: oral and iv
"
is there evidence of an aortic aneurysm?,no,"User: is there evidence of an aortic aneurysm? 
Bot: no
"
what is finding in the right lung?,volume loss,"User: what is finding in the right lung? 
Bot: volume loss
"
are the enhanced muscles also enlarged?,yes,"User: are the enhanced muscles also enlarged? 
Bot: yes
"
what pathology is demonstrated?,cardiomegaly,"User: what pathology is demonstrated? 
Bot: cardiomegaly
"
in what plane is the above taken?,pa,"User: in what plane is the above taken? 
Bot: pa
"
in which lobe are the lesions?,bilateral frontal lobes,"User: in which lobe are the lesions? 
Bot: bilateral frontal lobes
"
is the bowel distended?,no,"User: is the bowel distended? 
Bot: no
"
is this an ap or pa film?,pa,"User: is this an ap or pa film? 
Bot: pa
"
where is the lesion located?,right temporal lobe,"User: where is the lesion located? 
Bot: right temporal lobe
"
is there contrast in the vasculature?,no,"User: is there contrast in the vasculature? 
Bot: no
"
mri imaging modality used for this image?,t2 weighted,"User: mri imaging modality used for this image? 
Bot: t2 weighted
"
what it causing the widening?,mass,"User: what it causing the widening? 
Bot: mass
"
what imaging modality was used,mri-flair,"User: what imaging modality was used 
Bot: mri-flair
"
which kidney is abnormal?,right,"User: which kidney is abnormal? 
Bot: right
"
what type of mri is the above image?,dwi,"User: what type of mri is the above image? 
Bot: dwi
"
what neuro deficits will are predicted by image location?,"quadrantopia, aphasia, memory deficit, etc.","User: what neuro deficits will are predicted by image location? 
Bot: quadrantopia, aphasia, memory deficit, etc.
"
do you see fluid in the left lung?,yes,"User: do you see fluid in the left lung? 
Bot: yes
"
is this patient male or female?,female,"User: is this patient male or female? 
Bot: female
"
is the gallbladder large in size?,no,"User: is the gallbladder large in size? 
Bot: no
"
what are the two major organs present in this image?,heart 	lungs,"User: what are the two major organs present in this image? 
Bot: heart 	lungs
"
what are key characteristics of the lesion?,ring-enhancing lesion,"User: what are key characteristics of the lesion? 
Bot: ring-enhancing lesion
"
is the circular opacity (located in the middle of this image) found on top of the patient or within the patient?,on top of the patient,"User: is the circular opacity (located in the middle of this image) found on top of the patient or within the patient? 
Bot: on top of the patient
"
what is indicated by the bright ring around the lesion?,necrosis,"User: what is indicated by the bright ring around the lesion? 
Bot: necrosis
"
there is a mass found in which organ?,the pancreas,"User: there is a mass found in which organ? 
Bot: the pancreas
"
